store_nbr	family	sales	cum_revenue	cum_pct	ABC_class	XYZ_class	Segment
45	GROCERY I	16151372.29	16151372.29	0.022430310892898264	A	X	AX
44	GROCERY I	16148413.04	32299785.33	0.044856512	A	X	AX
47	GROCERY I	15315685.49	47615470.82	0.066126258	A	X	AX
46	GROCERY I	14159458	61774928.82	0.085790287	A	X	AX
44	BEVERAGES	13286003	75060931.82	0.10424129951787325	A	X	AX
3	GROCERY I	12808067.97	87868999.79	0.12202857736342129	A	X	AX
45	BEVERAGES	11277003	99146002.79	0.13768957995024764	A	Y	AY
3	BEVERAGES	11248296	110394298.8	0.15331071552619707	A	X	AX
11	GROCERY I	10924928.46	121319227.24800001	0.1684827725737682	A	X	AX
47	BEVERAGES	10704151	132023378.24800001	0.18334822366044257	A	Y	AY
44	PRODUCE	10666058.48	142689436.72640002	0.19816077353929457	A	Y	AY
9	GROCERY I	10235157.96	152924594.68640003	0.2123749078521201	A	X	AX
3	PRODUCE	8613316.113	161537910.79980004	0.2243366999996535	A	Y	AY
8	GROCERY I	7808063	169345973.79980004	0.23518019226804282	A	X	AX
46	BEVERAGES	7796556	177142529.79980004	0.24600770412419257	A	Y	AY
6	GROCERY I	7701149.169	184843678.96880004	0.2567027191966586	A	X	AX
40	GROCERY I	7215563.938	192059242.90680003	0.2667233749948728	A	X	AX
39	GROCERY I	7123121.76	199182364.66680002	0.2766156511882585	A	X	AX
45	PRODUCE	6913583.057	206095947.7	0.28621692930578824	A	Y	AY
31	GROCERY I	6534733.433	212630681.2	0.295292078	A	X	AX
2	GROCERY I	6513603.797	219144285	0.30433788246265203	A	Y	AY
47	PRODUCE	6394991.164	225539276.1	0.313218963	A	Y	AY
17	GROCERY I	6385942.217	231925218.3	0.32208747699045026	A	X	AX
34	GROCERY I	6317353.679	238242572	0.33086073814048417	A	X	AX
8	BEVERAGES	6286033	244528605	0.33959050251794115	A	X	AX
48	BEVERAGES	6268061	250796666	0.34829530817733356	A	Y	AY
38	GROCERY I	6248254.015	257044920	0.3569726067727195	A	X	AX
